input_img,output,flag,username,timestamp
"{""path"":""flagged\\input_img\\5bad95fb499131d78d7f\\PixPin_2024-01-28_01-57-24.gif"",""url"":""http://127.0.0.1:7861/file=C:\\Users\\Administrator\\AppData\\Local\\Temp\\gradio\\96977c87b931b58eca2f5bc1ae739795625f9a1f\\PixPin_2024-01-28_01-57-24.gif"",""size"":28694649,""orig_name"":""PixPin_2024-01-28_01-57-24.gif"",""mime_type"":"""",""is_stream"":false}","{""path"":""flagged\\output\\3a69c08b8ce8acb40c61\\image.png"",""url"":""http://127.0.0.1:7861/file=C:\\Users\\Administrator\\AppData\\Local\\Temp\\gradio\\718aed18ab8f6d11aa5ced61837a9571e6062014\\image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2024-02-15 18:55:36.084928
"{""path"":""flagged\\input_img\\814809aca338cf962971\\食谱查询2.png"",""url"":""http://127.0.0.1:7861/file=C:\\Users\\Administrator\\AppData\\Local\\Temp\\gradio\\7018d618032d1aedbf2f343b670cccfbff2e9c5f\\食谱查询2.png"",""size"":935171,""orig_name"":""食谱查询2.png"",""mime_type"":"""",""is_stream"":false}","{""path"":""flagged\\output\\5ea219139a9311f7c131\\image.png"",""url"":""http://127.0.0.1:7861/file=C:\\Users\\Administrator\\AppData\\Local\\Temp\\gradio\\660f6272b37ba8360f4e8f446f2d7b31e62c3819\\image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2024-02-15 18:55:53.324988
